HITId,Subject,Predicate,Object,SupportVotes,RejectVotes,FixPosition,FixValue,Kappa
1,wd:Q11621,wdt:P2142,792910554,2,1,NA,NA,0.2363636363636367
2,wd:Q603545,wdt:P2142,4300000,3,0,NA,NA,0.2363636363636367
3,wd:Q16911843,wdt:P577,2014-01-18,2,1,Object,2014-02-18,0.2363636363636367
4,wd:Q132863,wdt:P2142,969023261,0,3,Object,NA,0.2363636363636367
5,wd:Q1628022,wdt:P577,1951-01-01,3,0,NA,NA,0.2363636363636367
6,wd:Q48313910,wdt:P577,2018-02-24,1,2,Object,2019-02-24,0.2363636363636367
7,wd:Q171300,wdt:P2142,267000000,2,1,Object,NA,0.2363636363636367
8,wd:Q217010,wdt:P2142,698491347,0,3,Object,698491348,0.2363636363636367
9,wd:Q4993462,wdt:P577,2008-08-29,0,3,NA,NA,0.2363636363636367
10,wd:Q7033842,wdt:P577,1996-06-01,1,2,NA,NA,0.2363636363636367
11,wd:Q1339195,ddis:indirectSubclassOf,wd:Q27096213,2,1,Object,wd:Q72,0.2363636363636367
12,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,3,0,NA,NA,0.2363636363636367
13,wd:Q61928601,ddis:indirectSubclassOf,wd:Q95074,2,1,Object,wd:Q94074,0.2363636363636367
14,wd:Q1004,ddis:indirectSubclassOf,wd:Q47461344,0,3,NA,NA,0.2363636363636367
15,wd:Q8275050,ddis:indirectSubclassOf,wd:Q47461344,3,0,NA,NA,0.2363636363636367
16,wd:Q17710986,ddis:indirectSubclassOf,wd:Q7725310,2,1,NA,NA,0.2363636363636367
17,wd:Q16101952,ddis:indirectSubclassOf,wd:Q95074,1,2,Object,wd:Q95073,0.2363636363636367
18,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,3,0,NA,NA,0.2363636363636367
19,wd:Q15715406,ddis:indirectSubclassOf,wd:Q27096213,1,2,NA,NA,0.2363636363636367
20,wd:Q15239622,ddis:indirectSubclassOf,wd:Q27096213,1,2,NA,NA,0.2363636363636367
21,wd:Q708135,ddis:indirectSubclassOf,wd:Q618779,1,2,NA,NA,0.2363636363636367
22,wd:Q1720855,wdt:P577,2010-10-01,1,2,Object,2010-01-01,0.04000000000000009
23,wd:Q598752,wdt:P577,2001-01-01,0,3,Object,2011-01-01,0.04000000000000009
24,wd:Q427386,wdt:P2142,176997186,1,2,Object,176997168,0.04000000000000009
25,wd:Q321561,wdt:P577,1982-01-01,2,1,Object,1992-01-01,0.04000000000000009
26,wd:Q1410031,wdt:P577,2010-10-01,0,3,Object,2011-01-01,0.04000000000000009
27,wd:Q20001199,wdt:P2142,863756050,1,2,Object,863756051,0.04000000000000009
28,wd:Q15055043,wdt:P2142,511200000,3,0,NA,NA,0.04000000000000009
29,wd:Q639070,wdt:P161,wd:Q2865083,0,3,Object,Q5423258,0.04000000000000009
30,wd:Q23999890,wdt:P577,2015-01-05,3,0,NA,NA,0.04000000000000009
31,wd:Q841233,wdt:P2142,10696220,2,1,Object,10696210,0.04000000000000009
32,wd:Q2893887,wdt:P161,wd:Q105825,1,2,Subject,Q1168152,0.04000000000000009
33,wd:Q19803136,wdt:P577,2015-06-27,2,1,Object,2015-08-27,0.04000000000000009
34,wd:Q1039395,wdt:P161,wd:Q17386547,0,3,Subject,Q908556,0.04000000000000009
35,wd:Q202211,wdt:P495,wd:Q30,1,2,Subject,Q1471671,0.04000000000000009
36,wd:Q28974159,wdt:P750,wd:Q907311,1,2,Subject,Q1722254,0.04000000000000009
37,wd:Q326914,wdt:P136,wd:Q8261,2,1,Subject,Q15052538,0.04000000000000009
38,wd:Q885281,wdt:P161,wd:Q3087184,1,2,Subject,Q409022,0.04000000000000009
39,wd:Q814781,wdt:P344,wd:Q40087803,2,1,Subject,Q27703272,0.04000000000000009
