Entity,Movie
http://www.wikidata.org/entity/Q1000825,Jan Dara
http://www.wikidata.org/entity/Q1001777,Moondram Pirai
http://www.wikidata.org/entity/Q1001943,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson"
http://www.wikidata.org/entity/Q100232971,What We Wanted
http://www.wikidata.org/entity/Q1002480,Wanted: Dead or Alive
http://www.wikidata.org/entity/Q1003106,Linger
http://www.wikidata.org/entity/Q1003128,Eastern Condors
http://www.wikidata.org/entity/Q100323695,Amerika
http://www.wikidata.org/entity/Q1003411,Bukowski: Born into This
http://www.wikidata.org/entity/Q1003782,Fatal Move
http://www.wikidata.org/entity/Q10041645,On the Mountain of Tai Hang
http://www.wikidata.org/entity/Q1004392,Forever Enthralled
http://www.wikidata.org/entity/Q1004440,Kill the Irishman
http://www.wikidata.org/entity/Q1004567,Bullseye!
http://www.wikidata.org/entity/Q1004657,Bully
http://www.wikidata.org/entity/Q100506077,Dry Wind
http://www.wikidata.org/entity/Q100573244,The Big Hit
http://www.wikidata.org/entity/Q100606376,Angels Fallen
http://www.wikidata.org/entity/Q100719246,Gagarine
http://www.wikidata.org/entity/Q1007629,Golimaar
http://www.wikidata.org/entity/Q1008801,Adhurs
http://www.wikidata.org/entity/Q100941289,Rose Island
http://www.wikidata.org/entity/Q1010058,Simha
http://www.wikidata.org/entity/Q1010071,Rakta Charitra
http://www.wikidata.org/entity/Q1010104,Khaleja
http://www.wikidata.org/entity/Q1012216,Gorillas in the Mist
http://www.wikidata.org/entity/Q101235198,Operation Christmas Drop
http://www.wikidata.org/entity/Q1012729,Jasmine Women
http://www.wikidata.org/entity/Q1014049,Blind Mountain
http://www.wikidata.org/entity/Q1015884,"Turn Left, Turn Right"
http://www.wikidata.org/entity/Q1016369,Burke & Hare
http://www.wikidata.org/entity/Q1016657,Burma VJ
http://www.wikidata.org/entity/Q1016790,Burning Bright
http://www.wikidata.org/entity/Q1018042,Butter
http://www.wikidata.org/entity/Q101839079,Population Boom
http://www.wikidata.org/entity/Q1018481,Bye Bye Love
http://www.wikidata.org/entity/Q1018486,Bye Bye Blackbird
http://www.wikidata.org/entity/Q1018487,Bye Bye Birdie
http://www.wikidata.org/entity/Q1018491,Bye Bye Bluebird
http://www.wikidata.org/entity/Q1018729,The Chinese Feast
http://www.wikidata.org/entity/Q1020603,Stage Door
http://www.wikidata.org/entity/Q1020707,The Truth About Jane and Sam
http://www.wikidata.org/entity/Q1021970,The Longest Nite
http://www.wikidata.org/entity/Q1021977,Naked Killer
http://www.wikidata.org/entity/Q1022357,C.I.D.
http://www.wikidata.org/entity/Q1022379,C.R.A.Z.Y.
http://www.wikidata.org/entity/Q1022401,The Super
http://www.wikidata.org/entity/Q102395995,Notes for My Son
http://www.wikidata.org/entity/Q1024400,CSNY/Déjà Vu
http://www.wikidata.org/entity/Q1024660,Cash
http://www.wikidata.org/entity/Q1024664,Cash
http://www.wikidata.org/entity/Q1024694,Nightbreed
http://www.wikidata.org/entity/Q1024937,Kaos
http://www.wikidata.org/entity/Q1025198,Cadillac Man
http://www.wikidata.org/entity/Q1025721,Caged
http://www.wikidata.org/entity/Q1025973,Cairo Time
http://www.wikidata.org/entity/Q10263747,Daisy Diamond
http://www.wikidata.org/entity/Q1026647,The Baytown Outlaws
http://www.wikidata.org/entity/Q1026724,The Man from the Alamo
http://www.wikidata.org/entity/Q1026732,Fade to Black
http://www.wikidata.org/entity/Q1026875,I Hate Luv Storys
http://www.wikidata.org/entity/Q10271690,Elena
http://www.wikidata.org/entity/Q1027175,The Wedding Date
http://www.wikidata.org/entity/Q1027212,Revolution
http://www.wikidata.org/entity/Q1027640,Heart Condition
http://www.wikidata.org/entity/Q1027680,White Sands
http://www.wikidata.org/entity/Q1027810,K-9
http://www.wikidata.org/entity/Q1027834,The Cave
http://www.wikidata.org/entity/Q10283120,Women in Temptation
http://www.wikidata.org/entity/Q1028548,Jonas Brothers: The 3D Concert Experience
http://www.wikidata.org/entity/Q1028631,"Justice, My Foot!"
http://www.wikidata.org/entity/Q10288958,George Michael: A Different Story
http://www.wikidata.org/entity/Q1029212,Bernie
http://www.wikidata.org/entity/Q10292632,Along the Navajo Trail
http://www.wikidata.org/entity/Q1029529,Amusement
http://www.wikidata.org/entity/Q1029546,The Public Eye
http://www.wikidata.org/entity/Q1029606,Susan's Plan
http://www.wikidata.org/entity/Q1029722,Camouflage
http://www.wikidata.org/entity/Q1029741,Camp 14: Total Control Zone
http://www.wikidata.org/entity/Q1029748,Armadillo
http://www.wikidata.org/entity/Q10302218,Inherit the Wind
http://www.wikidata.org/entity/Q1030261,Tatie Danielle
http://www.wikidata.org/entity/Q10304910,Jaime
http://www.wikidata.org/entity/Q1030652,Ricochet
http://www.wikidata.org/entity/Q1030728,Loverboy
http://www.wikidata.org/entity/Q1031257,Empire of the Wolves
http://www.wikidata.org/entity/Q10315121,Killer Tongue
http://www.wikidata.org/entity/Q10327416,The Dognapper
http://www.wikidata.org/entity/Q1032779,Canaris
http://www.wikidata.org/entity/Q10328192,Meet Wally Sparks
http://www.wikidata.org/entity/Q10329335,Meu Passado Me Condena
http://www.wikidata.org/entity/Q10330296,Minha Mãe é uma Peça
http://www.wikidata.org/entity/Q1033136,Declaration of War
http://www.wikidata.org/entity/Q1033304,Hum Tum
http://www.wikidata.org/entity/Q1033398,Welcome to the Jungle
