HITId,HITTypeId,Subject,Predicate,Object,SupportVotes,RejectVotes,Kappa
1,7QT,wd:Q11621,wdt:P2142,792910554,2,1,0.236
2,7QT,wd:Q603545,wdt:P2142,4300000,3,0,0.236
3,7QT,wd:Q16911843,wdt:P577,2014-01-18,2,1,0.236
4,7QT,wd:Q132863,wdt:P2142,969023261,0,3,0.236
5,7QT,wd:Q1628022,wdt:P577,1951-01-01,3,0,0.236
6,7QT,wd:Q48313910,wdt:P577,2018-02-24,1,2,0.236
7,7QT,wd:Q171300,wdt:P2142,267000000,2,1,0.236
8,7QT,wd:Q217010,wdt:P2142,698491347,0,3,0.236
9,7QT,wd:Q4993462,wdt:P577,2008-08-29,0,3,0.236
10,7QT,wd:Q7033842,wdt:P577,1996-06-01,1,2,0.236
11,7QT,wd:Q1339195,ddis:indirectSubclassOf,wd:Q27096213,2,1,0.236
12,7QT,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,3,0,0.236
13,7QT,wd:Q61928601,ddis:indirectSubclassOf,wd:Q95074,2,1,0.236
14,7QT,wd:Q1004,ddis:indirectSubclassOf,wd:Q47461344,0,3,0.236
15,7QT,wd:Q8275050,ddis:indirectSubclassOf,wd:Q47461344,3,0,0.236
16,7QT,wd:Q17710986,ddis:indirectSubclassOf,wd:Q7725310,2,1,0.236
17,7QT,wd:Q16101952,ddis:indirectSubclassOf,wd:Q95074,1,2,0.236
18,7QT,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,3,0,0.236
19,7QT,wd:Q15715406,ddis:indirectSubclassOf,wd:Q27096213,1,2,0.236
20,7QT,wd:Q15239622,ddis:indirectSubclassOf,wd:Q27096213,1,2,0.236
21,7QT,wd:Q708135,ddis:indirectSubclassOf,wd:Q618779,1,2,0.236
22,8QT,wd:Q1720855,wdt:P577,2010-10-01,1,2,0.04
23,8QT,wd:Q598752,wdt:P577,2001-01-01,0,3,0.04
24,8QT,wd:Q427386,wdt:P2142,176997186,1,2,0.04
25,8QT,wd:Q321561,wdt:P577,1982-01-01,2,1,0.04
26,8QT,wd:Q1410031,wdt:P577,2010-10-01,0,3,0.04
27,8QT,wd:Q20001199,wdt:P2142,863756050,1,2,0.04
28,8QT,wd:Q15055043,wdt:P2142,511200000,3,0,0.04
29,8QT,wd:Q639070,wdt:P161,wd:Q2865083,0,3,0.04
30,8QT,wd:Q23999890,wdt:P577,2015-01-05,3,0,0.04
31,8QT,wd:Q841233,wdt:P2142,10696220,2,1,0.04
32,8QT,wd:Q2893887,wdt:P161,wd:Q105825,1,2,0.04
33,8QT,wd:Q19803136,wdt:P577,2015-06-27,2,1,0.04
34,8QT,wd:Q1039395,wdt:P161,wd:Q17386547,0,3,0.04
35,8QT,wd:Q202211,wdt:P495,wd:Q30,1,2,0.04
36,8QT,wd:Q28974159,wdt:P750,wd:Q907311,1,2,0.04
37,8QT,wd:Q326914,wdt:P136,wd:Q8261,2,1,0.04
38,8QT,wd:Q885281,wdt:P161,wd:Q3087184,1,2,0.04
39,8QT,wd:Q814781,wdt:P344,wd:Q40087803,2,1,0.04
40,8QT,wd:Q6548158,wdt:P136,wd:Q33999,1,2,0.04
41,8QT,wd:Q1123629,wdt:P725,wd:Q211040,1,2,0.04
42,9QT,wd:Q1780602,wdt:P921,wd:Q295093,1,2,0.199
43,9QT,wd:Q610633,wdt:P2554,wd:Q1700810,0,3,0.199
44,9QT,wd:Q2188914,wdt:P161,wd:Q2416526,0,3,0.199
45,9QT,wd:Q1032889,wdt:P58,wd:Q4762311,1,2,0.199
46,9QT,wd:Q209538,wdt:P3650,wd:Q28732983,0,3,0.199
47,9QT,wd:Q31202708,wdt:P3092,wd:Q4805527,0,3,0.199
48,9QT,wd:Q2576243,wdt:P364,wd:Q1860,2,1,0.199
49,9QT,wd:Q4335275,wdt:P520,wd:Q52382294,2,1,0.199
50,9QT,wd:Q931557,wdt:P750,wd:Q80948336,3,0,0.199
51,9QT,wd:Q2235250,wdt:P161,wd:Q599673,3,0,0.199
52,9QT,wd:Q696646,wdt:P3174,wd:Q1315917,3,0,0.199
53,9QT,wd:Q6782400,wdt:P945,wd:Q17,2,1,0.199
54,9QT,wd:Q6538,wdt:P119,wd:Q1792,2,1,0.199
55,9QT,wd:Q9192,wdt:P276,wd:Q833,2,1,0.199
56,9QT,wd:Q10623856,wdt:P20,wd:Q2096,2,1,0.199
57,9QT,wd:Q223596,wdt:P1431,wd:Q457180,2,1,0.199
58,9QT,wd:Q943992,wdt:P161,wd:Q160432,0,3,0.199
59,9QT,wd:Q1893555,wdt:P272,wd:Q48784114,2,1,0.199
60,9QT,wd:Q21060270,wdt:P27,wd:Q916,2,1,0.199
61,9QT,wd:Q1288004,wdt:P1412,wd:Q13330,2,1,0.199
