HITId,Subject,Predicate,Object,SupportVotes,RejectVotes,FixPosition,FixValue,Kappa
1,Q11621,P2142,792910554,2,1,,,0.2363636363636367
2,Q603545,P2142,4300000,3,0,,,0.2363636363636367
3,Q16911843,P577,2014-01-18,2,1,Object,2014-02-18,0.2363636363636367
4,Q132863,P2142,969023261,0,3,Object,,0.2363636363636367
5,Q1628022,P577,1951-01-01,3,0,,,0.2363636363636367
6,Q48313910,P577,2019-02-24,1,2,Object,2019-02-24,0.2363636363636367
7,Q171300,P2142,267000000,2,1,Object,,0.2363636363636367
8,Q217010,P2142,698491348,0,3,Object,698491348,0.2363636363636367
9,Q4993462,P577,2008-08-29,0,3,,,0.2363636363636367
10,Q7033842,P577,1996-06-01,1,2,,,0.2363636363636367
11,Q1339195,ddis:indirectSubclassOf,Q27096213,2,1,Object,wd:Q72,0.2363636363636367
12,Q104649845,ddis:indirectSubclassOf,Q43229,3,0,,,0.2363636363636367
13,Q61928601,ddis:indirectSubclassOf,Q95074,2,1,Object,wd:Q94074,0.2363636363636367
14,Q1004,ddis:indirectSubclassOf,Q47461344,0,3,,,0.2363636363636367
15,Q8275050,ddis:indirectSubclassOf,Q47461344,3,0,,,0.2363636363636367
16,Q17710986,ddis:indirectSubclassOf,Q7725310,2,1,,,0.2363636363636367
17,Q16101952,ddis:indirectSubclassOf,Q95073,1,2,Object,wd:Q95073,0.2363636363636367
18,Q104649845,ddis:indirectSubclassOf,Q43229,3,0,,,0.2363636363636367
19,Q15715406,ddis:indirectSubclassOf,Q27096213,1,2,,,0.2363636363636367
20,Q15239622,ddis:indirectSubclassOf,Q27096213,1,2,,,0.2363636363636367
21,Q708135,ddis:indirectSubclassOf,Q618779,1,2,,,0.2363636363636367
22,Q1720855,P577,2010-01-01,1,2,Object,2010-01-01,0.04
23,Q598752,P577,2011-01-01,0,3,Object,2011-01-01,0.04
24,Q427386,P2142,176997168,1,2,Object,176997168,0.04
25,Q321561,P577,1982-01-01,2,1,Object,1992-01-01,0.04
26,Q1410031,P577,2011-01-01,0,3,Object,2011-01-01,0.04
27,Q20001199,P2142,863756051,1,2,Object,863756051,0.04
28,Q15055043,P2142,511200000,3,0,,,0.04
29,Q639070,P161,Q5423258,0,3,Object,Q5423258,0.04
30,Q23999890,P577,2015-01-05,3,0,,,0.04
31,Q841233,P2142,10696220,2,1,Object,10696210,0.04
32,Q1168152,P161,Q105825,1,2,Subject,Q1168152,0.04
33,Q19803136,P577,2015-06-27,2,1,Object,2015-08-27,0.04
34,Q908556,P161,Q17386547,0,3,Subject,Q908556,0.04
35,Q1471671,P495,Q30,1,2,Subject,Q1471671,0.04
36,Q1722254,P750,Q907311,1,2,Subject,Q1722254,0.04
37,Q326914,P136,Q8261,2,1,Subject,Q15052538,0.04
38,Q409022,P161,Q3087184,1,2,Subject,Q409022,0.04
39,Q814781,P344,Q40087803,2,1,Subject,Q27703272,0.04
40,Q6548158,P106,Q33999,1,2,Predicate,P106,0.04
41,Q1123629,P161,Q211040,1,2,Predicate,P161,0.04
42,Q1780602,P344,Q295093,1,2,Predicate,P344,0.1991101223581758
43,Q610633,P58,Q1700810,0,3,Predicate,P58,0.1991101223581758
44,Q2188914,P161,Q17350908,0,3,Object,Q17350908,0.1991101223581758
45,Q1032889,P58,Q3194791,1,2,Object,Q3194791,0.1991101223581758
46,Q209538,P3650,Q28732985,0,3,Object,Q28732985,0.1991101223581758
47,Q31202708,P58,Q4805527,0,3,Predicate,P58,0.1991101223581758
48,Q2576243,P364,Q1860,2,1,Subject,Q268905,0.1991101223581758
49,Q4335275,P520,Q52382294,2,1,Subject,Q16795448,0.1991101223581758
50,Q931557,P750,Q80948336,3,0,,,0.1991101223581758
51,Q2235250,P161,Q599673,3,0,,,0.1991101223581758
52,Q696646,P3174,Q1315917,3,0,,,0.1991101223581758
53,Q6782400,P945,Q17,2,1,Predicate,P27,0.1991101223581758
54,Q6538,P119,Q1792,2,1,Predicate,P19,0.1991101223581758
55,Q9192,P276,Q833,2,1,Predicate,P17,0.1991101223581758
56,Q10623856,P20,Q2096,2,1,Predicate,P19,0.1991101223581758
57,Q223596,P1431,Q457180,2,1,Object,Q181900,0.1991101223581758
58,Q943992,P161,Q160432,0,3,,,0.1991101223581758
59,Q1893555,P272,Q48784114,2,1,Object,Q7488442,0.1991101223581758
60,Q21060270,P27,Q916,2,1,Object,Q884,0.1991101223581758
61,Q1288004,P1412,Q13330,2,1,Object,Q1860,0.1991101223581758
47,Q31202708,P58,Q4805527,0,3,Predicate,P58,0.1991101223581758
